date,actual_revenue,predicted_revenue,tv_contribution,tv_roi,radio_contribution,radio_roi,print_contribution,print_roi,social_media_contribution,social_media_roi,search_contribution,search_roi,email_contribution,email_roi,display_contribution,display_roi,baseline_contribution,tv_contribution_pct,radio_contribution_pct,print_contribution_pct,social_media_contribution_pct,search_contribution_pct,email_contribution_pct,display_contribution_pct,baseline_contribution_pct
2011-12-04,24621.43000000009,50233.53981923901,7176.971086834274,8.949734495753034,-2436.5436374754718,-1.3442257737368817,-114.18745671273791,-0.03993322400479039,0.0,0.0,235.0652562356554,0.06134510908194616,831.5712737552312,0.1303196944927576,945.327672986874,0.15131149968737778,43595.33562361519,14.287209527060954,-4.850431895190265,-0.22731317984683433,0.0,0.4679448374164295,1.6554104623077877,1.881865535235129,86.7853147130168
2011-05-25,24408.120000000094,24857.705484261303,4237.33022969203,2.9291448487788903,-7744.683040420699,-2.4959901511258034,-1161.1604804533963,-0.2101670751996214,-3413.2068223004353,-0.5363110419171582,-1164.7343292840305,-0.14913619935850797,-1333.6120919574678,-0.14934300111731513,-975.2868169473913,-0.1462793454233116,36413.058835932694,17.04634497490085,-31.156065652657517,-4.671229535600488,-13.730981021001767,-4.685606762947144,-5.364984683730549,-3.9234788487010426,146.48600152973765
2011-10-10,48239.180000000044,42754.643684972434,0.0,0.0,0.0,0.0,-194.03278287548164,-0.05540770119034517,-3226.036401805737,-0.9449128475080584,655.1921638217464,0.09692177434970456,368.1722690564711,0.0346207156041423,-165.79506717769982,-0.01957663004826997,45317.143503953135,0.0,0.0,-0.45382855791096455,-7.5454643607277605,1.5324467878843202,0.8611281426393403,-0.38778259596623443,105.9935005840813
2011-05-29,7394.299999999987,8035.137183708579,3261.0338333033633,3.667461968671544,-8174.009780326385,-3.33249475311127,264.0230718447938,0.06464910646209146,-1012.5004723876682,-0.22054605487132492,-1193.2295947066286,-0.1966750664176635,-2426.050062345077,-0.38798612208118066,-255.79638324101688,-0.056064960710359865,17571.6665715672,40.58466904479469,-101.72831643620688,3.2858564304304156,-12.60091083996096,-14.850145895777963,-30.193013596133095,-3.1834725082186504,218.68533380107243
2011-02-14,26703.510000000173,25833.427620388364,5572.913131792164,4.263113989621006,-8191.687041539903,-3.2088776496344833,354.12832077811254,0.1121908964346717,-3153.378045406018,-0.9094621305932621,0.0,0.0,0.0,0.0,0.0,0.0,31251.451254764008,21.572488226045106,-31.709640555304496,1.37081430301036,-12.20658014005581,0.0,0.0,0.0,120.97291816630485
2011-10-18,45332.160000000076,61042.80258982809,229.73394410559558,0.27806093452625946,0.0,0.0,48.626530074951006,0.013074178355743855,-4002.7228011388943,-1.0805728542647908,761.8030404857054,0.10193717875274048,326.65751171283773,0.029668545680956504,202.95183359146904,0.021363530807782492,63475.752530996426,0.3763489459179541,0.0,0.07965972729281916,-6.557239561942869,1.247981757332762,0.5351286275431766,0.3324746325216858,103.98564587133447
2011-08-21,14576.860000000008,13779.768948166971,-17.820723619006458,-0.026107890092013326,-6424.672876425628,-3.530583208639586,-455.2239343586316,-0.13816729575978354,-2092.7294195530303,-0.5332922425769093,511.6193022722982,0.07528939590814014,-317.39244541704284,-0.035694357864927584,540.121578064467,0.07536997323076956,22035.867467203545,-0.12932527160680027,-46.62395211844432,-3.3035672518963897,-15.186970314414538,3.712829323893384,-2.303321968684122,3.919670787631862,159.91463681352093
2011-03-13,4148.119999999994,5573.584960280833,4508.029665075968,4.2030951145177085,-9240.852076934232,-3.7783460535192757,-606.3176017078849,-0.18399075117752633,-3796.9547453273526,-1.156124226321506,-1986.19086329723,-0.46897879722918956,0.0,0.0,0.0,0.0,16695.870582471565,80.88204803912821,-165.7972766682042,-10.878413194177536,-68.12410275228025,-35.63578697465756,0.0,0.0,299.55353155019134
2011-07-21,32818.54,32941.031221532656,3756.5470233136803,4.123134951885851,-6601.839787875986,-2.5193053951062723,-348.94421795458766,-0.0708274574266215,861.336691082688,0.14936906114327375,-3092.9931587891115,-0.38633198128779006,1759.135135588327,0.16437842216203413,1407.606781198021,0.15241955469774177,35200.182754969625,11.403853747171484,-20.04138772547152,-1.059299618181025,2.61478362741618,-9.38948491924353,5.3402552086421275,4.273110855976806,106.85816882368948
2011-08-26,25626.439999999977,23711.06085448086,5097.069435902613,8.261855992321154,-6371.855416811759,-3.637173658326108,-2169.101821903947,-0.5151502206097789,-2739.4846094767017,-0.6125408029990411,1050.418044341346,0.1574303864114231,-348.5924603394924,-0.034725102961210084,-126.01133439248224,-0.015926730282646514,29318.619017161283,21.49658957557515,-26.87292422687035,-9.1480589384681,-11.553614687632166,4.430076118432468,-1.4701681315689263,-0.531445367062389,123.64954565759432
2011-09-11,35511.6700000001,37986.499412133584,0.0,0.0,0.0,0.0,-260.8590044437515,-0.08365638230905821,-3462.43883513756,-1.0505067810500581,655.1921638217464,0.10080468763123789,261.67386651691777,0.031069944220130367,-165.79506717769982,-0.02065027472379745,40958.72628855393,0.0,0.0,-0.6867150395027669,-9.114919481187028,1.7248026903275693,0.6888601755004946,-0.4364578725165232,107.82442952737826
2011-10-04,48810.64999999989,70970.18193332048,5403.867448265242,6.4838110101089965,0.0,0.0,753.3096126509918,0.21753407142782652,-4326.214906264504,-1.126008543878447,655.1921638217173,0.08616437231840658,251.14024165738374,0.020659555438892457,3807.984074659791,0.38936283232581775,64424.903298529855,7.6142787027690115,0.0,1.0614452325326689,-6.095820509984275,0.9231935807030878,0.3538672648371407,5.365611262258782,90.77742446688359
2011-12-05,88741.96000000046,46070.98966868442,5252.060127675308,5.537927969458769,-8471.38290029209,-3.5111775239637457,432.5646275527906,0.11138037669338297,0.0,0.0,-589.9749150294738,-0.1279669343305361,476.1025052176119,0.05758515024766104,-1556.3614492548586,-0.20763501136055512,50527.981672815135,11.399929034398976,-18.38767293955115,0.9389089113638368,0.0,-1.2805779065573106,1.0334106313787967,-3.3781810645859762,109.67418333355283
2011-05-15,9924.280000000004,9859.071972950103,4439.02454725818,4.462990807896585,-7827.56702709875,-3.341087675151633,284.6277493886355,0.07642080220289423,-253.1274414772779,-0.05826240824315138,-1015.0478132585431,-0.17763478839855223,-2215.890216433485,-0.3343170551535031,-2041.8930628557118,-0.3959228788039695,18488.945237427055,45.02477068264979,-79.39456217151977,2.8869628923447967,-2.567457080866966,-10.295571591763247,-22.47564702350408,-20.710803901807015,187.53230819446648
2011-09-04,17119.589999999993,17254.255883481954,0.0,0.0,0.0,0.0,-514.1134383837671,-0.1636688882470177,-3400.428916728717,-0.9439080962466945,-1029.7692792615126,-0.18939504690168796,-965.3540752908411,-0.10369168947843854,142.854913567513,0.02029895539889777,23021.06667957928,0.0,0.0,-2.9796326300918263,-19.707769142244235,-5.968204518441988,-5.594875153178905,0.8279401588350879,133.42254128512187
2011-04-17,12725.499999999993,13584.227465467558,2041.2780904935826,1.8397848533542276,-9240.282068007078,-3.7988645145935576,921.8067278342842,0.22524734211891353,-2407.2575435861254,-0.655314240490147,-1795.3095840694114,-0.4179259511866145,-2412.3608059844482,-0.42130094865585427,0.0,0.0,26476.352648786757,15.02682501218941,-68.0221388481368,6.785860514906774,-17.720974929973828,-13.216133111973166,-17.7585424869902,0.0,194.90510384997782
2011-02-03,23479.830000000096,21851.14666420323,4738.068370642879,3.644724050095293,-9673.916686439374,-3.8686536723090845,-744.6888470006015,-0.2193215705275346,-3349.331638172127,-0.9194867521288655,-709.6486742190864,-0.18536042351509904,-300.8114792275883,-0.06082516853218137,-3871.886712569787,-0.7093940133179774,35763.36233118891,21.683385514980003,-44.27189490374563,-3.408008094241381,-15.327944522284664,-3.247649586196042,-1.3766393308795126,-17.71937542716123,163.66812634952845
